title,price,decription,category
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,"Delicious plant-based, gluten-free recipes and lifestyle tips for packed lunches, snacks, and simple meals that are easy and accessible to everyone—from the author of the international bestseller Deliciously Ella.It’s easy to be healthy until you get hungry. Making healthy eating sustainable is about two things. One: it’s got to be doable in the context of a time starved l Delicious plant-based, gluten-free recipes and lifestyle tips for packed lunches, snacks, and simple meals that are easy and accessible to everyone—from the author of the international bestseller Deliciously Ella.It’s easy to be healthy until you get hungry. Making healthy eating sustainable is about two things. One: it’s got to be doable in the context of a time starved life. Two: it’s got to be delicious. Ella Woodward’s newest cookbook Deliciously Ella Every Day offers fantastically appealing and quick recipes for breakfasts, packed lunches, snacks on the go, and stress-free meals.The book is packed with more than 100 simple yet irresistible plant-based, dairy-free, and gluten-free recipes. Be inspired by Ella’s quick weekday dinners, amazingly colorful salads, and incredible ideas for meals and snacks on the go. Favorites include the insanely delicious roasted cinnamon and maple trail mix, a super-rich chocolate ganache cake, a lovely roasted potato, hazelnut and pomegranate salad with a maple dressing. The book includes a section of big-batch cooking, recipes that can be made on the weekend so you can pack satisfying lunches or prepare quick, easy dinners during the week—a lovely cauliflower pizza or a stunning mushroom risotto.Featuring the top ten rules for living the Deliciously Ella way, tips for eating well without breaking the bank, and shopping lists to help you get organized, this is the cookbook you’ve been waiting for. ...more",Food and Drink
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,"“Dionne's expertise is evident in this finely crafted and convincing work.” —The Los Angeles TimesFrom one of our most engaging political reporters and the author of Why Americans Hate Politics; the story of conservatism from the Goldwater 1960s to the present day Tea Party that has resulted in broken promises and an ideological purity that drives moderate Republicans away “Dionne's expertise is evident in this finely crafted and convincing work.” —The Los Angeles TimesFrom one of our most engaging political reporters and the author of Why Americans Hate Politics; the story of conservatism from the Goldwater 1960s to the present day Tea Party that has resulted in broken promises and an ideological purity that drives moderate Republicans away.Why the Right Went Wrong offers a historical view of the right since the 1960s. Its core contention is that American conservatism and the Republican Party took a wrong turn when they adopted Barry Goldwater’s worldview during and after the 1964 campaign. The radicalism of today’s conservatism is not the product of the Tea Party, Washington Post columnist E.J. Dionne writes. The Tea Partiers are the true heirs to Goldwater ideology. The purity movement did more than drive moderates out of the Republican Party—it beat back alternative definitions of conservatism.Since 1968, no conservative administration—not Nixon not Reagan not two Bushes—could live up to the rhetoric rooted in the Goldwater movement that began to reshape American politics fifty years ago. The collapse of the Nixon presidency led to the rise of Ronald Reagan, the defeat of George H.W. Bush, to Newt Gingrich’s revolution. Bush initially undertook a partial modernization, preaching “compassionate conservatism” and a “Fourth Way” to Clinton’s “Third Way.” Conservatives quickly defined him as an advocate of “big government” and not conservative enough on spending, immigration, education, and Medicare. A return to the true faith was the only prescription on order. The result was the Tea Party, which Dionne says, was as much a reaction to Bush as to Obama.The state of the Republican party, controlled by the strictest base, is diminished, Dionne writes. It has become white and older in a country that is no longer that. It needs to come back to life for its own health and that of the country’s, and in Why the Right Went Wrong, he explains how. ...more",Politics
Wild Swans,£14.36,"The summer before Ivy’s senior year is going to be golden; all bonfires, barbeques, and spending time with her best friends. For once, she will just get to be. No summer classes, none of Granddad’s intense expectations to live up to the family name. For generations, the Milbourn women have lead extraordinary lives—and died young and tragically. Granddad calls it a legacy, The summer before Ivy’s senior year is going to be golden; all bonfires, barbeques, and spending time with her best friends. For once, she will just get to be. No summer classes, none of Granddad’s intense expectations to live up to the family name. For generations, the Milbourn women have lead extraordinary lives—and died young and tragically. Granddad calls it a legacy, but Ivy considers it a curse. Why else would her mother have run off and abandoned her as a child?But when her mother unexpectedly returns home with two young daughters in tow, all of the stories Ivy wove to protect her heart start to unravel. The very people she once trusted now speak in lies. And all of Ivy’s ambition and determination cannot defend her against the secrets of the Milbourn past…. ...more",Young Adult
The Rosie Project (Don Tillman #1),£54.04,"An international sensation, this hilarious, feel-good novel is narrated by an oddly charming and socially challenged genetics professor on an unusual quest: to find out if he is capable of true love.Don Tillman, professor of genetics, has never been on a second date. He is a man who can count all his friends on the fingers of one hand, whose lifelong difficulty with social An international sensation, this hilarious, feel-good novel is narrated by an oddly charming and socially challenged genetics professor on an unusual quest: to find out if he is capable of true love.Don Tillman, professor of genetics, has never been on a second date. He is a man who can count all his friends on the fingers of one hand, whose lifelong difficulty with social rituals has convinced him that he is simply not wired for romance. So when an acquaintance informs him that he would make a “wonderful” husband, his first reaction is shock. Yet he must concede to the statistical probability that there is someone for everyone, and he embarks upon The Wife Project. In the orderly, evidence-based manner with which he approaches all things, Don sets out to find the perfect partner. She will be punctual and logical—most definitely not a barmaid, a smoker, a drinker, or a late-arriver.Yet Rosie Jarman is all these things. She is also beguiling, fiery, intelligent—and on a quest of her own. She is looking for her biological father, a search that a certain DNA expert might be able to help her with. Don's Wife Project takes a back burner to the Father Project and an unlikely relationship blooms, forcing the scientifically minded geneticist to confront the spontaneous whirlwind that is Rosie—and the realization that love is not always what looks good on paper.The Rosie Project is a moving and hilarious novel for anyone who has ever tenaciously gone after life or love in the face of overwhelming challenges. ...more",Default
Take Me with You,£45.21,"August Shroeder, a burned-out teacher, has been sober since his 19-year-old son died. Every year he's spent the summer on the road, but making it to Yellowstone this year means everything. The plan had been to travel there with his son, but now August is making the trip with Philip's ashes instead. An unexpected twist of fate lands August with two extra passengers for his August Shroeder, a burned-out teacher, has been sober since his 19-year-old son died. Every year he's spent the summer on the road, but making it to Yellowstone this year means everything. The plan had been to travel there with his son, but now August is making the trip with Philip's ashes instead. An unexpected twist of fate lands August with two extra passengers for his journey, two half-orphans with nowhere else to go.What none of them could have known was how transformative both the trip and the bonds that develop between them would prove, driving each to create a new destiny together. ...more",Fiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,"Naruto is a young shinobi with an incorrigible knack for mischief. He’s got a wild sense of humor, but Naruto is completely serious about his mission to be the world’s greatest ninja!It’s Deidara vs. Sasuke, but even Deidara’s Ultimate Art may be no match for the all-powerful new Sasuke. The battle culminates in a giant explosion, leaving members of Team Kakashi concerned, Naruto is a young shinobi with an incorrigible knack for mischief. He’s got a wild sense of humor, but Naruto is completely serious about his mission to be the world’s greatest ninja!It’s Deidara vs. Sasuke, but even Deidara’s Ultimate Art may be no match for the all-powerful new Sasuke. The battle culminates in a giant explosion, leaving members of Team Kakashi concerned, especially when Karin cannot sense Sasuke’s chakra. Plus, deep inside the Land of Rain lies an Akatsuki secret that sheds doubt on the organization’s true intentions, as well as their mysterious leader, Pain. ...more",Sequential Art
"Hush, Hush (Hush, Hush #1)",£47.02,"A SACRED OATHA FALLEN ANGELA FORBIDDEN LOVERomance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.But after a series of t A SACRED OATHA FALLEN ANGELA FORBIDDEN LOVERomance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek some answers, she finds herself near a truth that is way more unsettling than anything Patch makes her feel.For she is right in the middle of an ancient battle between the immortal and those that have fallen - and, when it comes to choosing sides, the wrong choice will cost Nora her life. ...more",Default
Cometh the Hour (The Clifton Chronicles #6),£25.01,"Cometh the Hour opens with the reading of a suicide note, which has devastating consequences for Harry and Emma Clifton, Giles Barrington and Lady Virginia.Giles must decide if he should withdraw from politics and try to rescue Karin, the woman he loves, from behind the Iron Curtain. But is Karin truly in love with him, or is she a spy?Lady Virginia is facing bankruptcy, a Cometh the Hour opens with the reading of a suicide note, which has devastating consequences for Harry and Emma Clifton, Giles Barrington and Lady Virginia.Giles must decide if he should withdraw from politics and try to rescue Karin, the woman he loves, from behind the Iron Curtain. But is Karin truly in love with him, or is she a spy?Lady Virginia is facing bankruptcy, and can see no way out of her financial problems, until she is introduced to the hapless Cyrus T. Grant III from Baton Rouge, Louisiana, who's in England to see his horse run at Royal Ascot.Sebastian Clifton is now the Chief Executive of Farthings Bank and a workaholic, whose personal life is thrown into disarray when he falls for Priya, a beautiful Indian girl. But her parents have already chosen the man she is going to marry. Meanwhile, Sebastian's rivals Adrian Sloane and Desmond Mellor are still plotting to bring him and his chairman Hakim Bishara down, so they can take over Farthings.Harry Clifton remains determined to get Anatoly Babakov released from a gulag in Siberia, following the international success of his acclaimed book, Uncle Joe. But then something unexpected happens that none of them could have anticipated.Cometh the Hour is the penultimate book in the Clifton Chronicles and, like the five previous novels - which were all New York Times bestsellers - showcases Jeffrey Archer's extraordinary storytelling with his trademark twists. ...more",Fiction
Angels & Demons (Robert Langdon #1),£51.48,"When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol—seared into the chest of a murdered physicist—he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati ... the most powerful underground organization ever to walk the earth. The Illuminati h When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol—seared into the chest of a murdered physicist—he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati ... the most powerful underground organization ever to walk the earth. The Illuminati has now surfaced to carry out the final phase of its legendary vendetta against its most hated enemy—the Catholic Church. Langdon’s worst fears are confirmed on the eve of the holy conclave, when a messenger of the Illuminati announces they have hidden an unstoppable time bomb at the very heart of Vatican City. With the countdown under way, Langdon jets to Rome to join forces with Vittoria Vetra, a beautiful and mysterious Italian scientist, to assist the Vatican in a desperate bid for survival. Embarking on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and even the most secretive vault on earth, Langdon and Vetra follow a 400-year-old trail of ancient symbols that snakes across Rome toward the long-forgotten Illuminati lair ... a clandestine location that contains the only hope for Vatican salvation. ...more",Default
The Silent Sister (Riley MacPherson #1),£46.29,"In The Silent Sister, Riley MacPherson has spent her entire life believing that her older sister Lisa committed suicide as a teenager. Now, over twenty years later, her father has passed away and she's in New Bern, North Carolina cleaning out his house when she finds evidence to the contrary. Lisa is alive. Alive and living under a new identity. But why exactly was she on In The Silent Sister, Riley MacPherson has spent her entire life believing that her older sister Lisa committed suicide as a teenager. Now, over twenty years later, her father has passed away and she's in New Bern, North Carolina cleaning out his house when she finds evidence to the contrary. Lisa is alive. Alive and living under a new identity. But why exactly was she on the run all those years ago, and what secrets are being kept now? As Riley works to uncover the truth, her discoveries will put into question everything she thought she knew about her family. Riley must decide what the past means for her present, and what she will do with her newfound reality, in this engrossing mystery from international bestselling author Diane Chamberlain. ...more",Fiction
How to Speak Golf: An Illustrated Guide to Links Lingo,£58.32,"From ace to zinger, How to Speak Golf includes over 125 golf terms paired with charming and clever illustrations that decode the words and phrases that fly around a golf course. Clubhouse Chatter sections are sprinkled throughout where you'll learn about everything from the origins of golf, the worst courses and biggest sand bunkers in the world, to the reason why there ar From ace to zinger, How to Speak Golf includes over 125 golf terms paired with charming and clever illustrations that decode the words and phrases that fly around a golf course. Clubhouse Chatter sections are sprinkled throughout where you'll learn about everything from the origins of golf, the worst courses and biggest sand bunkers in the world, to the reason why there are so many bird references in golf terminology, a history of famous holes-in-one, and much, much more!Some of the terms included in the book are:-Army golf: The inconsistent hitting of the ball from one side of the fairway to the other. (Think: Left, right, left.)-Cabbage: The worst of the rough. (Also known as ""Spinach"" or ""Lettuce."" Whatever you call it, this is a salad to be avoided.)-Ham and egg: When two players on a team pair well, with one player excelling whenever the other falters.-Velcro: Greens that are slow, where it seems like the ball sticks to the grass.A perfect blend of funny anecdotes and fascinating bits of history and trivia, this is the perfect gift book to have you talking like a master whether you're a pro, a lifelong fan, or a novice on the greens. ...more",Default
Off the Hook (Fishing for Trouble #1),£47.67,"Welcome to The Buoys, a West Coast haven where love comes in with the tide. Perfect for readers of Jill Shalvis and Susan Mallery, the Fishing for Trouble series features three unforgettable brothers—each of whom is a great catch.Major league pitcher Liam O'Donnell knows his best days are probably behind him, but that doesn't mean he's ready to retire and become a fishing Welcome to The Buoys, a West Coast haven where love comes in with the tide. Perfect for readers of Jill Shalvis and Susan Mallery, the Fishing for Trouble series features three unforgettable brothers—each of whom is a great catch.Major league pitcher Liam O'Donnell knows his best days are probably behind him, but that doesn't mean he's ready to retire and become a fishing guide. Still, after all the time he's spent chasing his dreams, he owes it to his brothers to pull his weight around the lodge. The Buoys is their father's legacy, and they can't let some developer take it from them. The one snag Liam isn't counting on is a blast from the past: his ex-wife.The moment Kate Hadley steps out of the seaplane, she knows this assignment is going to be trickier than she thought. She has to persuade the owners to sell—and one of them is Liam O'Donnell. Ten years ago, she made the biggest mistake of her life when she married Liam during a fling in Vegas. Now he's her only lifeline in the middle of nowhere. Kate's trying to keep things cool, but Liam just reminds her of the scorching few nights they spent together—and tempts her to make new memories that are just as steamy as the old. ...more",Romance
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,"The 10-Day Green Smoothie Cleanse will jump-start your weight loss, increase your energy level, clear your mind, and improve your overall health. Made up of supernutrients from leafy greens and fruits, green smoothies are filling and healthy and you will enjoy drinking them. Your body will also thank you for drinking them as your health and energy improve to levels you nev The 10-Day Green Smoothie Cleanse will jump-start your weight loss, increase your energy level, clear your mind, and improve your overall health. Made up of supernutrients from leafy greens and fruits, green smoothies are filling and healthy and you will enjoy drinking them. Your body will also thank you for drinking them as your health and energy improve to levels you never thought possible. In ten days, you can expect to lose weight, reduce cravings, clear your mind, and improve digestion. It is an experience that could change your life if you stick with it! This book provides a shopping list, recipes, and detailed instructions for the 10-day cleanse, along with suggestions for getting the best results. It also offers advice on how to continue to lose weight and maintain good health afterwards. Are you ready to look slimmer, healthier, and sexier than you have in years? Then get ready to begin the 10-Day Green Smoothie Cleanse! If you successfully complete the 10-Day Green Smoothie Cleanse, you will… - Lose 10‒15 pounds in 10 days - Get rid of stubborn body fat, including belly fat - Drop pounds and inches fast, without grueling workouts - Learn to live a healthier lifestyle of detoxing and healthy eating - Help your body naturally crave healthy foods so you never have to diet again - Receive over 100 green smoothie recipes for various health conditions and goals JJ Smith is the author of the #1 national bestseller and USA Today bestseller Lose Weight Without Dieting or Working Out! JJ Smith is a nutritionist and certified weight-loss expert who has been featured on The Steve Harvey Show, The Montel Williams Show, and The Jamie Foxx Show and on the NBC, FOX, and CW Network television stations, as well as in the pages of Glamour, Essence, and Ladies Home Journal. Since reclaiming her health, losing weight, and discovering a “second youth” in her forties, JJ has become the voice of inspiration to those who want to lose weight, be healthy, and get their sexy back! ...more",Health
Don't Forget Steven,£33.23,"By the author of Ruby, Between the Cracks, a winner of the Top Ten Best Books for Teens 2015 award, this unflinching look at Steven's life will stick with you long after you put it down.He never told what went on behind closed doors. But this time, he can’t remember.Things never have been easy for Steven. He accepts that, and just makes the best of things. He might not hav By the author of Ruby, Between the Cracks, a winner of the Top Ten Best Books for Teens 2015 award, this unflinching look at Steven's life will stick with you long after you put it down.He never told what went on behind closed doors. But this time, he can’t remember.Things never have been easy for Steven. He accepts that, and just makes the best of things. He might not have parents or a happy home. Or enough to eat most days. But at least he has a couple of loyal friends who stand by him and help out when they can. At least he has school, someplace he can go to escape the abuse.But just when he thought things couldn't get much worse, they did.Steven is accused of murder. But that isn't the worst part. The really bad part is not even knowing if he did . ...more",Young Adult
Shadows of the Past (Logan Point #1),£39.67,"Psychology professor and criminal profiler Taylor Martin prides herself on being able to solve any crime, except the one she wants most desperately to solve--the disappearance of her father twenty years ago. When she finally has a lead on his whereabouts, Taylor returns home to Logan Point, Mississippi, to investigate. But as she is stalking the truth about the past, someo Psychology professor and criminal profiler Taylor Martin prides herself on being able to solve any crime, except the one she wants most desperately to solve--the disappearance of her father twenty years ago. When she finally has a lead on his whereabouts, Taylor returns home to Logan Point, Mississippi, to investigate. But as she is stalking the truth about the past, someone is stalking her.Nick Sinclair pens mystery novels for a living, but the biggest mystery to him is how he can ever get over the death of his wife--a tragedy he believes he could have prevented. With his estranged brother the only family he has left, Nick sets out to find him. But when he crosses paths with Taylor, all he seems to find is trouble. ...more",Christian Fiction
History of Beauty,£10.29,"Now in paperback, Umberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco, among Italy’s finest and most important contemporary thinkers, explores the nature, the meaning, and the very history of the idea of beauty in Western culture. The profound and subtle text is Now in paperback, Umberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco, among Italy’s finest and most important contemporary thinkers, explores the nature, the meaning, and the very history of the idea of beauty in Western culture. The profound and subtle text is lavishly illustrated with abundant examples of sublime painting and sculpture and lengthy quotations from writers and philosophers. This is the first paperback edition of History of Beauty, making this intellectual and philosophical journey with one of the world’s most acclaimed thinkers available in a more compact and affordable format.From the Trade Paperback edition ...more",Art
The Whale,£35.96,"A wordless epic sea adventureThere is a legend that a Great Spotted Whale lives in the ocean, although a sighting fifty years ago was never corroborated. Now two young whale watchers each set out to find the whale, one armed with sound-recording equipment, the other with a camera. When their boats collide, they pool their resources to capture incontrovertible proof that th A wordless epic sea adventureThere is a legend that a Great Spotted Whale lives in the ocean, although a sighting fifty years ago was never corroborated. Now two young whale watchers each set out to find the whale, one armed with sound-recording equipment, the other with a camera. When their boats collide, they pool their resources to capture incontrovertible proof that the mythical whale exists. The eventual sighting is a magical moment, especially when the children discover that it was their own grandparents who first glimpsed the whale fifty years ago. The Murrows’ spectacular wordless adventure is brought to life with stunning graphite drawings that convey the drama and haunting beauty of the ocean and capture the majesty of the awe-inspiring whale. ...more",Childrens
Playing from the Heart,£32.38,"Peter H. Reynolds, creator of The Dot, has composed a pitch-perfect tribute to the power of music and the bonds of family.When a young boy begins to play on his family’s piano, reveling in the fun of plunking the keys, his father signs him up for lessons so that he can learn to play properly. With his father’s encouragement, Raj learns notes, then scales, then songs, and Peter H. Reynolds, creator of The Dot, has composed a pitch-perfect tribute to the power of music and the bonds of family.When a young boy begins to play on his family’s piano, reveling in the fun of plunking the keys, his father signs him up for lessons so that he can learn to play properly. With his father’s encouragement, Raj learns notes, then scales, then songs, and finally classical pieces that his father can recognize and be proud of. But the more Raj practices and the more skilled he becomes, the less he enjoys playing, until he grows up and stops playing altogether. But when his father becomes ill and asks Raj to play for him, will Raj remember how to play from the heart? ...more",Childrens
